,,中远海运集运亚欧快航三线  (AEU3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,COSCO SHIPPING LINES ASIA--EUROPE EXPRESS SERVICE LOOP 3 (AEU3),,,,,,,,,,,,,,,,,,,,,,,,,2026. 3. 23,,,,
WEEK,VESSEL NAME,"VSL
CODE",S/O,"COS
VOYAGE        ( IRIS4 )",,"COMMON
VOYAGE",,TSN07,,DLC01,,TAO06,,SHA08,,NGB07,,SIN02,,RTM06,,,HAM01,,ANR07,,SHA08,,TSN07,,
,,,,,,,,天津,,大连,,青岛,,上海,,宁波,,新加坡,,鹿特丹,,,汉堡,,安特卫普,,上海,,天津,,
,,,,,,,,ETB,ETD,ETB,ETD,ETB,ETD,ETB,ETD,ETB,ETD,ETB,ETD,ETA,ETB,ETD,ETB,ETD,ETB,ETD,ETB,ETD,ETB,ETD,
,,,,,,,,FRI,SUN,MON,TUE,WED,FRI,SAT,SUN,MON,TUE,SUN,MON,TUE,TUE,FRI,SAT,TUE,WED,THU,TUE,WED,FRI,SUN,
8.0,,,,,,,,46066.0,46068.0,         Blank Sailing,,,,,,,,,,,,,,,,,,,,,R2
9.0,COSCO SHIPPING GEMINI,CSA,COS,035W,035E,035W,035E,46073.0,46075.0,46076.0,46077.0,46078.0,46080.0,46081.0,46082.0,46083.0,46084.0,46089.0,46090.0,46119.0,46119.0,46123.0,46123.0,46126.0,46127.0,46129.0,46175.0,46176.0,46178.0,46180.0,R5
10.0,COSCO SHIPPING SAGITTARIUS,CSE,COS,033W,033E,033W,033E,46080.0,46082.0,46083.0,46084.0,46085.0,46087.0,46088.0,46089.0,46090.0,46091.0,46096.0,46097.0,46126.0,46126.0,46130.0,46130.0,46133.0,46134.0,46136.0,46182.0,46183.0,46185.0,46187.0,
11.0,OOCL PORTUGAL,MTA,COS,006W,006E,006W,006E,46087.0,46089.0,46090.0,46091.0,46092.0,46094.0,46095.0,46096.0,46097.0,46098.0,46103.0,46104.0,46133.0,46133.0,46137.0,46137.0,46140.0,46141.0,46143.0,46189.0,46190.0,46192.0,46194.0,
12.0,CSCL ATLANTIC OCEAN,QIP,COS,065W,065E,065W,065E,46094.0,46096.0,46097.0,46098.0,46099.0,46101.0,46102.0,46103.0,46104.0,46105.0,46110.0,46111.0,46140.0,46140.0,46144.0,46144.0,46147.0,46148.0,46150.0,46196.0,46197.0,46199.0,46201.0,R6
13.0,OOCL DENMARK,MSZ,COS,007W,007E,007W,007E,46101.0,46103.0,46104.0,46105.0,46106.0,46108.0,46109.0,46110.0,46111.0,46112.0,46117.0,46118.0,46147.0,46147.0,46151.0,46151.0,46154.0,46155.0,46157.0,46203.0,46204.0,46206.0,46208.0,
14.0,COSCO SHIPPING CAPRICORN,CNG,COS,040W,040E,040W,040E,46108.0,46110.0,46111.0,46112.0,46113.0,46115.0,46116.0,46117.0,46118.0,46119.0,46124.0,46125.0,46154.0,46154.0,46158.0,46158.0,46161.0,46162.0,46164.0,46210.0,46211.0,46213.0,46215.0,
15.0,COSCO SHIPPING VIRGO,CSD,COS,035W,035E,035W,035E,46115.0,46117.0,46118.0,46119.0,46120.0,46122.0,46123.0,46124.0,46125.0,46126.0,46131.0,46132.0,46161.0,46161.0,46165.0,46165.0,46168.0,46169.0,46171.0,46217.0,46218.0,46220.0,46222.0,R1/R5
16.0,,,,,,,,46122.0,46124.0,         Blank Sailing,,,,,,,,,,,,,,,,,,,,,R2
17.0,COSCO SHIPPING GALAXY,CSH,COS,029W,029E,029W,029E,46129.0,46131.0,46132.0,46133.0,46134.0,46136.0,46137.0,46138.0,46139.0,46140.0,46145.0,46146.0,46175.0,46175.0,46179.0,46179.0,46182.0,46183.0,46185.0,46224.0,46225.0,46227.0,46229.0,
18.0,COSCO SHIPPING LIBRA,CSB,COS,035W,035E,035W,035E,46136.0,46138.0,46139.0,46140.0,46141.0,46143.0,46144.0,46145.0,46146.0,46147.0,46152.0,46153.0,46182.0,46182.0,46186.0,46186.0,46189.0,46190.0,46192.0,46231.0,46232.0,46234.0,46236.0,
19.0,COSCO SHIPPING SOLAR,CSI,COS,036W,036E,036W,036E,46143.0,46145.0,46146.0,46147.0,46148.0,46150.0,46151.0,46152.0,46153.0,46154.0,46159.0,46160.0,46189.0,46189.0,46193.0,46193.0,46196.0,46197.0,46199.0,46238.0,46239.0,46241.0,46243.0,
20.0,COSCO SHIPPING UNIVERSE,CSF,COS,035W,035E,035W,035E,46150.0,46152.0,46153.0,46154.0,46155.0,46157.0,46158.0,46159.0,46160.0,46161.0,46166.0,46167.0,46196.0,46196.0,46200.0,46200.0,46203.0,46204.0,46206.0,46245.0,46246.0,46248.0,46250.0,
21.0,COSCO SHIPPING STAR,CSJ,COS,029W,029E,029W,029E,46157.0,46159.0,46160.0,46161.0,46162.0,46164.0,46165.0,46166.0,46167.0,46168.0,46173.0,46174.0,46203.0,46203.0,46207.0,46207.0,46210.0,46211.0,46213.0,46252.0,46253.0,46255.0,46257.0,
22.0,COSCO SHIPPING ARIES,CNE,COS,037W,037E,037W,037E,46164.0,46166.0,46167.0,46168.0,46169.0,46171.0,46172.0,46173.0,46174.0,46175.0,46180.0,46181.0,46210.0,46210.0,46214.0,46214.0,46217.0,46218.0,46220.0,46259.0,46260.0,46262.0,46264.0,
23.0,COSCO SHIPPING LEO,CNF,COS,036W,036E,036W,036E,46171.0,46173.0,46174.0,46175.0,46176.0,46178.0,46179.0,46180.0,46181.0,46182.0,46187.0,46188.0,46217.0,46217.0,46221.0,46221.0,46224.0,46225.0,46227.0,46266.0,46267.0,46269.0,46271.0,
24.0,COSCO SHIPPING GEMINI,CSA,COS,036W,036E,036W,036E,46178.0,46180.0,46181.0,46182.0,46183.0,46185.0,46186.0,46187.0,46188.0,46189.0,46194.0,46195.0,46224.0,46224.0,46228.0,46228.0,46231.0,46232.0,46234.0,46273.0,46274.0,46276.0,46278.0,
25.0,COSCO SHIPPING SAGITTARIUS,CSE,COS,034W,034E,034W,034E,46185.0,46187.0,46188.0,46189.0,46190.0,46192.0,46193.0,46194.0,46195.0,46196.0,46201.0,46202.0,46231.0,46231.0,46235.0,46235.0,46238.0,46239.0,46241.0,46280.0,46281.0,46283.0,46285.0,
